z_volt	Amp	Phase	DC	Amp_direct	Phase_direct	X	Y
-1.722541	3.393965	0.136071	-2.121667	3.551840	1.058760	3.362594	0.460395
-1.727541	4.063536	-0.071462	-2.143589	4.016412	0.048697	4.053165	-0.290140
-1.732541	2.685585	-0.080633	-2.120377	4.020603	-0.485511	2.676859	-0.216311
-1.737541	3.334452	0.047592	-2.121989	3.523791	-0.556115	3.330677	0.158634
-1.742541	2.837219	0.125671	-2.086525	1.683561	1.114857	2.814844	0.355617
-1.747541	2.380284	-0.097532	-2.096197	2.559830	-0.005143	2.368972	-0.231786
-1.752541	4.163293	0.042375	-2.152939	4.178899	0.186037	4.159555	0.176366
-1.747541	4.230580	0.043302	-2.137142	4.231127	0.314673	4.226614	0.183136
-1.742541	4.201155	0.056822	-2.155518	3.955801	0.171852	4.194374	0.238588
-1.737541	4.461714	0.051329	-2.163578	4.268848	0.056435	4.455837	0.228916
-1.732541	4.655824	0.080971	-2.179375	3.652750	0.163470	4.640570	0.376573
-1.727541	4.488732	0.087308	-2.187113	4.626707	0.162180	4.471635	0.391403
-1.722541	4.509987	0.081084	-2.167769	3.942906	0.041927	4.495170	0.365289
-1.717541	4.765853	0.082762	-2.180665	4.489044	0.249549	4.749540	0.393982
-1.712541	4.386921	0.099452	-2.188402	4.032532	-0.104118	4.365244	0.435571
-1.707541	2.792837	0.184948	-2.202910	4.288836	0.521006	2.745207	0.513590
-1.702541	1.425121	0.349589	-2.212260	2.631079	-0.632845	1.338921	0.488121
-1.697541	0.899790	0.492662	-2.225478	1.206094	2.123307	0.792784	0.425577
-1.692541	0.726217	0.568677	-2.236117	0.816641	-3.030179	0.611921	0.391080
-1.687541	0.670068	0.600286	-2.251914	0.651253	6.061696	0.552923	0.378507
-1.682541	0.650144	0.609879	-2.262876	0.720568	-2.419238	0.532934	0.372382
-1.677541	0.645495	0.610036	-2.279963	0.684782	7.760092	0.529065	0.369802
-1.672541	0.642513	0.607772	-2.257718	0.698000	-0.944279	0.527453	0.366901
-1.667541	1.032260	0.361375	-2.234827	0.693487	1.258000	0.965588	0.364967
-1.662541	2.759373	0.136780	-2.222899	0.694454	0.136389	2.733601	0.376250
-1.657541	3.569156	0.113883	-2.207746	1.248005	-0.189875	3.546037	0.405588
-1.652541	3.938899	0.053641	-2.184211	3.452864	0.228594	3.933234	0.211184
-1.647541	4.330944	0.033657	-2.166157	3.597620	-0.006755	4.328491	0.145738
-1.642541	4.634331	0.049555	-2.175507	4.083148	0.206026	4.628642	0.229561
-1.637541	4.725597	0.055702	-2.191949	4.070897	-0.137002	4.718268	0.263090
-1.632541	4.497198	0.061407	-2.201621	4.313016	0.387857	4.488722	0.275986
-1.627541	2.808489	0.115746	-2.215806	4.133764	-0.402333	2.789697	0.324345
-1.622541	1.366442	0.249622	-2.221609	2.567890	0.810194	1.324091	0.337563
-1.617541	0.881183	0.429452	-2.238696	1.562018	-1.012627	0.801167	0.366901
-1.612541	0.724247	0.520424	-2.251592	0.501662	6.302204	0.628363	0.360131
-1.607541	0.673587	0.560129	-2.263843	0.806325	-1.220249	0.570654	0.357874
-1.602541	0.658362	0.574699	-2.268357	0.656089	-6.668767	0.552600	0.357874
-1.597541	0.776398	0.480928	-2.250625	0.708639	-0.264026	0.688328	0.359163
-1.592541	2.558582	0.147462	-2.233538	0.690908	-8.034141	2.530814	0.375928
-1.587541	3.585200	0.087432	-2.211937	1.845080	0.548087	3.571506	0.313061
-1.582541	3.704551	0.052244	-2.195495	2.726186	-0.161504	3.699497	0.193453
-1.577541	3.730364	0.011326	-2.175507	3.535075	0.028064	3.730124	0.042249
-1.572541	3.990305	0.001943	-2.173572	3.691115	0.017425	3.990298	0.007753
-1.567541	4.221106	0.017113	-2.182277	3.815559	0.135744	4.220488	0.072232
-1.562541	4.185748	0.053020	-2.196140	3.877459	-0.246616	4.179866	0.221823
-1.557541	4.346008	0.061316	-2.213549	3.694339	0.348202	4.337840	0.266314
-1.552541	2.323076	0.155229	-2.221932	4.036400	-0.325281	2.295144	0.359163
-1.547541	1.184148	0.299889	-2.235150	1.670020	0.843400	1.131299	0.349814
-1.542541	0.816382	0.436279	-2.246434	1.466589	-0.890761	0.739912	0.344978
-1.537541	0.698819	0.507824	-2.261909	0.439762	8.834975	0.610631	0.339820
-1.532541	0.661304	0.534575	-2.271258	0.779244	0.208283	0.569042	0.336918
-1.527541	0.800637	0.431236	-2.262231	0.664149	-9.295066	0.727338	0.334661
-1.522541	2.378448	0.112205	-2.240308	0.708639	1.685173	2.363491	0.266314
-1.517541	3.320315	0.079904	-2.223221	0.957206	-1.211544	3.309721	0.265024
-1.512541	3.561026	0.028527	-2.203877	3.060832	0.308547	3.559577	0.101570
-1.507541	3.510356	-0.015609	-2.178086	3.429652	-0.156668	3.509928	-0.054791
-1.502541	3.703047	-0.037354	-2.166157	3.621477	-0.113790	3.700464	-0.138292
-1.497541	3.782472	-0.030258	-2.172605	3.682410	-0.023842	3.780741	-0.114434
-1.492541	3.952931	-0.013372	-2.184211	3.648558	0.043539	3.952577	-0.052857
-1.487541	4.031278	-0.004235	-2.193883	3.737862	-0.201159	4.031242	-0.017071
-1.482541	4.080564	0.012487	-2.204200	3.357435	0.131553	4.080246	0.050954
-1.477541	3.911966	0.034047	-2.224188	4.053165	-0.277889	3.909699	0.133165
